书名,链接,国家,作者,翻译者,出版社,出版时间,价格,星级,评分,评价人数,简介
厌女,https://book.douban.com/subject/25836270/,中,上野千鹤子 , , 上海三联书店 ,2015, 28.00,4.5,9.1,46073,无
文学回忆录,https://book.douban.com/subject/20440644/,中,木心 口述 , , 广西师范大学出版社 ,2013, 98.00,4.5,9.1,41046,木心留给世界的礼物
哭泣的骆驼,https://book.douban.com/subject/1029111/,中,三毛 , , 哈尔滨出版社 ,2003, 15.80,4.5,9,53795,沙漠中寻常的生与死
一个叫欧维的男人决定去死,https://book.douban.com/subject/26672693/,瑞典,弗雷德里克·巴克曼, 宁蒙 , 四川文艺出版社 ,2015, 35.00,4.5,9.1,54654,这个发生在瑞典的故事，如生命庆典般绚丽斑斓
灿烂千阳,https://book.douban.com/subject/2143732/,美,卡勒德·胡赛尼, 李继宏 , 上海人民出版社 ,2007, 28.00,4.5,8.9,111690,唯有希望与爱可以驱散阴霾
最好的告别,https://book.douban.com/subject/26576861/,美,阿图·葛文德（AtulGawande）, 王一方 主编 , 浙江人民出版社 ,2015, 54.90,4.5,9,42226,关于衰老与死亡，你必须知道的常识
孽子,https://book.douban.com/subject/5337254/,中,白先勇 , , 广西师范大学出版社 ,2010, 46.00,4.5,9.1,35496,写给那一群， 在最深最深的黑夜里， 独自彷徨街头， 无所依归的孩子们
人间词话,https://book.douban.com/subject/1203426/,中,王国维 , , 上海古籍出版社 ,1998, 9.80,4.5,9,50637,以新眼光评旧文学
浪潮之巅,https://book.douban.com/subject/6709783/,中,吴军 , , 电子工业出版社 ,2011, 55.00,4.5,9,31597,了解IT领域的入门读物
窗边的小豆豆,https://book.douban.com/subject/1007914/,日,黑柳彻子著, 赵玉皎 , 南海出版公司 ,2003, 20.00,4.5,8.8,193651,真正懂孩子的教育经
唐诗三百首,https://book.douban.com/subject/1013267/,中,蘅塘退士 , , 中华书局 ,1984, 0.65,4.5,9.4,22802,熟读唐诗三百首，不会吟诗也会吟
看见,https://book.douban.com/subject/20427187/,中,柴静 , , 广西师范大学出版社 ,2013, 39.80,4.5,8.8,319891,在这里看见中国
美的历程,https://book.douban.com/subject/3410718/,中,李泽厚 , , 生活·读书·新知三联书店 ,2009, 43.00,4.5,9.2,26849,中国美学经典之作
秋园,https://book.douban.com/subject/34998019/,中,杨本芬 , , 北京联合出版公司 ,2020, 38.00,4.5,9,48416,无
置身事内,https://book.douban.com/subject/35546622/,中,兰小欢 , , 上海人民出版社 ,2021, 65.00,4.5,9.1,37632,无
道德经,https://book.douban.com/subject/1059258/,中,黄元吉 , , 陕西人民出版社 ,1996, 4.50,5,9.5,17772,中国历史上首部完整的哲学著作
呼兰河传,https://book.douban.com/subject/1060852/,中,萧红 , , 百花文艺出版社 ,2005, 19.00,4.5,8.9,75731,萧红的童年往事
爱你就像爱生命,https://book.douban.com/subject/3071717/,中,王小波 , , 上海锦绣文章出版社 ,2008, 18.00,4.5,8.8,106175,王小波与李银河的两地书
我们仨,https://book.douban.com/subject/1023045/,中,杨绛 , , 生活·读书·新知三联书店 ,2003, 18.80,4.5,8.7,289941,家庭生活回忆录
巨人的陨落,https://book.douban.com/subject/26698660/,英,肯·福莱特, 于大卫 , 江苏凤凰文艺出版社 ,2016, 129.80,4.5,8.9,79858,五个家族，一场战争
冬牧场,https://book.douban.com/subject/10522856/,中,李娟 , , 新星出版社 ,2012, 29.80,4.5,9.1,28372,阿勒泰的精灵
教父,https://book.douban.com/subject/1092335/,美,马里奥·普佐, 周汉林 , 译林出版社 ,1997, 23.30,4.5,9,37657,“教父三部曲”电影原著
四世同堂,https://book.douban.com/subject/3183775/,中,老舍 , , 北京十月文艺出版社 ,2008, 36.00,4.5,9.4,30967,北平沦陷时代广大平民的悲惨遭遇
离开的，留下的,https://book.douban.com/subject/27104959/,意,埃莱娜·费兰特, 陈英 , 人民文学出版社 ,2017, 62.00,4.5,8.9,59478,探索中年的虚无、困惑、野心和近乎残暴的爱
海子的诗,https://book.douban.com/subject/1011754/,中,海子 , , 人民文学出版社 ,1999, 15.40,4.5,9,42143,无
人生的枷锁,https://book.douban.com/subject/2035171/,英,毛姆, 张柏然 , 上海译文出版社 ,2007, 32.00,4.5,9.1,27323,在混沌纷扰的生活漩流中，寻求人生的真谛
看不见的城市,https://book.douban.com/subject/10555509/,意,伊塔洛·卡尔维诺, 张密 , 译林出版社 ,2012, 25.00,4.5,9,29383,无
美丽新世界,https://book.douban.com/subject/27002046/,中,【英】奥尔德斯·赫胥黎 , , 上海译文出版社 ,2017, 45.00,4.5,9.2,38581,无
斯通纳,https://book.douban.com/subject/26425831/,美,约翰·威廉斯, 杨向荣 , 上海人民出版社 ,2016, 49.00,4.5,8.9,53524,即使不能拥有完美的生活，所幸追求过完整的自我
飞鸟集,https://book.douban.com/subject/1058661/,印,罗宾德拉纳德·泰戈尔, 徐翰林 , 哈尔滨出版社 ,2004, 16.80,4.5,8.9,61148,一个淡泊清透的世界
人生的智慧,https://book.douban.com/subject/3261600/,中,(德)叔本华 , , 上海人民出版社 ,2008, 28.00,4.5,9.2,27961,对世俗、实用问题深刻而透彻的讨论
罪与罚,https://book.douban.com/subject/1858568/,俄,陀思妥耶夫斯基, 岳麟 , 上海译文出版社 ,2006, 23.00,4.5,9.2,27992,描绘人内心的全部深度
叫魂,https://book.douban.com/subject/10471333/,美,孔飞力, 陈兼 , 生活·读书·新知三联书店 上海三联书店 ,2012, 38.00,4.5,9.1,25367,1768年中国妖术大恐慌
鹿鼎记,https://book.douban.com/subject/1212893/,中,金庸 , , 广州出版社 花城出版社 ,2008, 108.00,4.5,8.9,52524,武侠的解构，流氓的狂欢
刘擎西方现代思想讲义,https://book.douban.com/subject/35313227/,中,刘擎 , , 新星出版社 ,2021, 79.00,4.5,9.2,22153,无
梦里花落知多少,https://book.douban.com/subject/2070844/,中,三毛 , , 北京十月文艺出版社 ,2007, 28.00,4.5,8.8,92302,哀而不伤
边城,https://book.douban.com/subject/1057244/,中,沈从文 , , 北岳文艺出版社 ,2002, 12.00,4.5,8.7,213304,一切充满了善，然而到处是不凑巧
这些人，那些事,https://book.douban.com/subject/6388661/,中,吴念真 , , 译林出版社 ,2011, 28.00,4.5,8.8,63596,平淡叙述下的惊心动魄
陆犯焉识,https://book.douban.com/subject/6880158/,中,严歌苓 , , 作家出版社 ,2011, 35.00,4.5,8.9,53116,翻手为苍凉，覆手为繁华
时间简史,https://book.douban.com/subject/1034282/,英,史蒂芬·霍金, 许明贤 , 湖南科学技术出版社 ,2010, 45.00,4.5,8.9,57840,探索时间和空间的核心秘密
金色梦乡,https://book.douban.com/subject/5038409/,日,伊坂幸太郎, 李彦桦 , 译林出版社 ,2010, 35.00,4.5,9,26587,伊坂幸太郎代表作
王尔德童话,https://book.douban.com/subject/1119839/,英,王尔德, 王林 , 译林出版社 ,2003, 6.00,4.5,9.1,21367,一颗纯美纯善、永难泯灭的童心
小径分岔的花园,https://book.douban.com/subject/25796120/,阿根廷,豪·路·博尔赫斯, 王永年 , 上海译文出版社 ,2015, 23.00,4.5,9,34518,一个谜语，谜底正是时间
你当像鸟飞往你的山,https://book.douban.com/subject/33440205/,美,塔拉·韦斯特弗, 任爱红 , 南海出版公司 ,2019, 59.00,4.5,8.7,148273,我来自一个极少有人能想象的家庭，教育给了我新世界
受戒,https://book.douban.com/subject/1760432/,中,汪曾祺 , , 漓江出版社 ,1987, 3.95,4.5,9.3,21595,江南乡镇民间生活，健康淳朴的人性
十万个为什么,https://book.douban.com/subject/2160556/,中,无, ,少年儿童出版社 ,1987, 30.00,4.5,9.1,16590,无
也许你该找个人聊聊,https://book.douban.com/subject/35481512/,美,洛莉·戈特利布, 张含笑 ,上海文化出版社 ,2021, 68.00,4.5,9,29151,无
棋王·树王·孩子王,https://book.douban.com/subject/26734559/,中,阿城 , , 江苏凤凰文艺出版社 ,2016, 58.00,4.5,9.2,19352,无
绝叫,https://book.douban.com/subject/35031587/,日,叶真中显, 林佩瑾 , 北京联合出版公司 ,2020, 58.00,4.5,8.9,53133,无
昨日的世界,https://book.douban.com/subject/1062343/,奥,斯蒂芬·茨威格, 舒昌善 , 广西师范大学出版社 ,2004, 32.00,4.5,9.2,13287,一个高贵而残破的昨日镜像
失明症漫记,https://book.douban.com/subject/20428302/,葡,若泽·萨拉马戈, 范维信 , 南海出版公司 ,2014, 29.50,4.5,9.1,23537,失明症迅速蔓延，整个城市陷入一场空前的灾难
毛泽东选集 第一卷,https://book.douban.com/subject/1139360/,中,毛泽东 , , 人民出版社 ,1991, 40.00,5,9.6,20475,无
克莱因壶,https://book.douban.com/subject/33658616/,日,冈岛二人, 张舟 , 化学工业出版社 ,2019, 48.00,4.5,8.9,43689,无
一个陌生女人的来信,https://book.douban.com/subject/2154960/,奥,斯蒂芬·茨威格, 张玉书 , 上海译文出版社 ,2007, 20.00,4.5,8.7,134196,暗恋的极致
國史大綱（上下）,https://book.douban.com/subject/1046492/,中,錢穆 , , 商务印书馆 ,2013, 76.00,4.5,9.4,14723,钱穆中国通史
故事,https://book.douban.com/subject/25976544/,美,罗伯特·麦基, 周铁东 , 天津人民出版社 ,2014, 68.00,4.5,9.2,16258,材质、结构、风格和银幕剧作的原理
茶馆,https://book.douban.com/subject/1036613/,中,老舍 , , 人民文学出版社 ,2002, 9.80,4.5,9.1,25937,清末、民初、抗战胜利以后三个历史时期的北京生活风貌
绿毛水怪,https://book.douban.com/subject/3518332/,中,王小波 , , 时代文艺出版社 ,2009, 30.00,4.5,9.1,21504,我们好象在池塘的水底，从一个月亮走向另一个月亮
桶川跟踪狂杀人事件,https://book.douban.com/subject/35094680/,日,清水洁, 王华懋 , 四川人民出版社 ,2021, 45.00,4.5,9,28232,无
人间草木,https://book.douban.com/subject/1253310/,中,汪曾祺 , , 江苏文艺出版社 ,2005, 20.00,4.5,9.2,26072,我就是要这样香，香得痛痛快快
经济学原理（上下）,https://book.douban.com/subject/1028842/,美,曼昆, 梁小民 , 机械工业出版社 ,2003, 88.00,4.5,9.1,20254,经济学家们的世界观
面纱,https://book.douban.com/subject/10560798/,中,(英)W.萨默塞特·毛姆 , , 重庆出版社 ,2012, 32.00,4.5,8.8,66836,揭去生活的面纱
海的女儿,https://book.douban.com/subject/1765512/,中,安徒生 , , 上海译文出版社 ,1978, 0.43,4.5,9.1,19542,无
苏菲的世界,https://book.douban.com/subject/2284311/,挪,乔斯坦·贾德, 萧宝森 , 作家出版社 ,2007, 26.00,4.5,8.8,51976,哲学启蒙书
万水千山走遍,https://book.douban.com/subject/1036490/,中,三毛 , , 哈尔滨出版社 ,2003, 13.80,4.5,8.8,42766,从遥远的撒哈拉到敦煌戈壁
阿勒泰的角落,https://book.douban.com/subject/4881850/,中,李娟 , , 万卷出版公司 ,2010, 25.00,4.5,9.1,17639,白雪和阳光，青草和白桦林
全球通史(上),https://book.douban.com/subject/1922216/,美,斯塔夫里阿诺斯, 吴象婴 , 北京大学出版社 ,2006, 42.00,4.5,9.2,15682,无
爱的艺术,https://book.douban.com/subject/3026879/,美,艾·弗洛姆, 李健鸣 , 上海译文出版社 ,2008, 15.00,4.5,8.8,41641,谦恭地、勇敢地、真诚地和有纪律地爱他人
史蒂夫·乔布斯传,https://book.douban.com/subject/6798611/,美,沃尔特·艾萨克森, 管延圻 , 中信出版社 ,2011, 68.00,4.5,8.7,56953,完美主义者的最高形态
我的天才女友,https://book.douban.com/subject/26878124/,意,埃莱娜·费兰特, 陈英 , 人民文学出版社 ,2017, 42.00,4.5,8.7,92455,“那不勒斯四部曲”第一部，两个女人，50年的友谊和战争
德米安,https://book.douban.com/subject/3578470/,德,赫尔曼·黑塞, 丁君君 , 上海人民出版社 ,2009, 25.00,4.5,8.9,29087,少年辛克莱寻找通向自身之路的艰辛历程
温柔的夜,https://book.douban.com/subject/2068249/,中,三毛 , , 北京十月文艺出版社 ,2007, 28.00,4.5,9.1,21280,三毛在加纳利群岛的生活
不能承受的生命之轻,https://book.douban.com/subject/4920007/,中,米兰·昆德拉 , , 上海译文出版社 ,2010, 29.00,4.5,8.8,41668,无
霸王别姬,https://book.douban.com/subject/1088711/,中,李碧华 , , 人民文学出版社 ,1999, 10.20,4.5,9.1,19795,人间，只是抹去了脂粉的脸
长日将尽,https://book.douban.com/subject/30142261/,英,石黑一雄, 冯涛 , 上海译文出版社 ,2018, 48,4.5,8.9,26909,无
13 67,https://book.douban.com/subject/25897884/,中,陳浩基 , , 皇冠文化出版有限公司 ,2014, NT$350,4.5,9.2,16057,无
我也有一个梦想,https://book.douban.com/subject/1014825/,中,林达 , , 生活·读书·新知三联书店 ,2004, 25.00,4.5,9,15031,在法治国家里，民众怎样运用法律
球状闪电,https://book.douban.com/subject/1192090/,中,刘慈欣 , , 四川科学技术出版社 ,2005, 22.00,4.5,8.7,74338,量子之外，没有真相
古文观止,https://book.douban.com/subject/1014561/,中,吴楚材 , , 中华书局 ,1987, 21.00,4.5,9.1,17508,收录自先秦至明末的散文二百二十二篇
亮剑,https://book.douban.com/subject/1088022/,中,都梁 , , 解放军文艺出版社 ,2005, 28.00,4.5,9,27144,面对强大的对手，明知不敌，也要毅然亮剑
少年凯歌,https://book.douban.com/subject/1091203/,中,陈凯歌 , , 人民文学出版社 ,2001, 10.00,4.5,9.3,10860,无
社会心理学,https://book.douban.com/subject/1476651/,美,戴维·迈尔斯, 张智勇 , 人民邮电出版社 ,2006, 68.00,4.5,9,24390,人们是如何思索、影响他人并与他人建立联系的
我的阿勒泰,https://book.douban.com/subject/4884218/,中,李娟 , , 云南人民出版社 ,2010, 22.00,4.5,8.9,24278,描写疆北阿勒泰地区生活和风情的原生态散文集
一句顶一万句,https://book.douban.com/subject/3633461/,中,刘震云 , , 长江文艺出版社 ,2009, 29.80,4.5,8.7,57819,一句胜过千年
我不知道该说什么，关于死亡还是爱情,https://book.douban.com/subject/25884880/,白俄,S·A·阿列克谢耶维奇, 方祖芳 , 花城出版社 ,2014, 34.80,4.5,9.1,18236,真实记录切尔诺贝利核灾难事件
海风中失落的血色馈赠,https://book.douban.com/subject/26357614/,加拿大,阿利斯泰尔·麦克劳德, 陈以侃 , 上海文艺出版社 ,2015,  20.00,4.5,9.1,17106,男女之间、父母与子女之间紧密的纽带和难以逾越的鸿沟
倾城之恋,https://book.douban.com/subject/1985223/,中,张爱玲 , , 北京十月文艺出版社 ,2006, 29.80,4.5,8.7,47944,“一对平凡的夫妻”之间的“一点真心”
孩子你慢慢来,https://book.douban.com/subject/4207781/,中,龙应台 , , 生活·读书·新知三联书店 ,2009, 28.00,4.5,8.7,75259,我们现在怎样做母亲
麦琪的礼物,https://book.douban.com/subject/1051193/,美,欧·亨利, 张经浩 , 上海社会科学院出版社 ,2003, 25.00,4.5,8.7,70874,日常的奇迹
遥远的向日葵地,https://book.douban.com/subject/27184303/,中,李娟 , , 花城出版社 ,2017, 38.00,4.5,9.1,18734,无
天朝的崩溃,https://book.douban.com/subject/1675478/,中,茅海建 , , 生活·读书·新知三联书店 ,2005, 32.00,4.5,9.1,13508,鸦片战争再研究
强风吹拂,https://book.douban.com/subject/26210487/,中,三浦紫苑 , , 广西师范大学出版社 ,2015, 39.00,4.5,9,20464,明明这么痛苦，这么难过，为什么就是不能放弃跑步？
浮生六记,https://book.douban.com/subject/1088581/,中,（清）沈复 , , 人民文学出版社 ,1999, 38,4.5,8.8,64365,苟不记之笔墨，未免有辜彼苍之厚
草房子,https://book.douban.com/subject/1052990/,中,曹文轩 , , 江苏少年儿童出版社 ,2009, 18.00,4.5,9,42471,男孩桑桑刻骨铭心、终身难忘的六年小学生活
